from_station,to_station,line
metro_pu_01,metro_pu_02,Purple
metro_pu_02,metro_pu_03,Purple
metro_pu_03,metro_pu_04,Purple
metro_pu_04,metro_pu_05,Purple
metro_pu_05,metro_pu_06,Purple
metro_pu_06,metro_pu_07,Purple
metro_pu_07,metro_pu_08,Purple
metro_pu_08,metro_pu_09,Purple
metro_pu_09,metro_pu_10,Purple
metro_pu_10,metro_ix_01,Purple
metro_ix_01,metro_pu_12,Purple
metro_pu_12,metro_pu_13,Purple
metro_pu_13,metro_pu_14,Purple
metro_aq_01,metro_aq_02,Aqua
metro_aq_02,metro_aq_03,Aqua
metro_aq_03,metro_aq_04,Aqua
metro_aq_04,metro_aq_05,Aqua
metro_aq_05,metro_aq_06,Aqua
metro_aq_06,metro_aq_07,Aqua
metro_aq_07,metro_aq_08,Aqua
metro_aq_08,metro_ix_01,Aqua
metro_ix_01,metro_aq_12,Aqua
metro_aq_12,metro_aq_13,Aqua
metro_aq_13,metro_aq_14,Aqua
metro_aq_14,metro_aq_15,Aqua
metro_aq_15,metro_aq_16,Aqua
metro_aq_16,metro_aq_17,Aqua
metro_aq_17,metro_aq_18,Aqua
